time,sat,load
0,STARLINK-1294,13
0,STARLINK-2437,10
0,STARLINK-2626,11
0,STARLINK-2575,14
0,STARLINK-3701,14
0,STARLINK-4115,12
0,STARLINK-5163,15
0,STARLINK-6268,13
0,STARLINK-6186,11
0,STARLINK-30546,13
0,STARLINK-31701,12
0,STARLINK-31858,14
0,STARLINK-33947,15
0,STARLINK-34348,12
0,STARLINK-34235,11
0,STARLINK-34632,10
0,STARLINK-34662,14
0,STARLINK-34664,15
0,STARLINK-34675,11
0,STARLINK-34748,10
0,STARLINK-34757,11
0,STARLINK-34722,12
0,STARLINK-34676,14
0,STARLINK-34631,15
0,STARLINK-34570,15
1,STARLINK-2626,11
1,STARLINK-2575,16
1,STARLINK-3701,14
1,STARLINK-5163,15
1,STARLINK-6186,10
1,STARLINK-30546,13
1,STARLINK-31701,12
1,STARLINK-31858,13
1,STARLINK-34235,11
1,STARLINK-34646,15
1,STARLINK-34649,10
1,STARLINK-34660,14
1,STARLINK-34604,14
1,STARLINK-34620,15
1,STARLINK-34748,10
1,STARLINK-34676,14
1,STARLINK-34578,13
1,STARLINK-34690,12
2,STARLINK-2626,11
2,STARLINK-2575,15
2,STARLINK-3701,14
2,STARLINK-5163,15
2,STARLINK-5086,12
2,STARLINK-6186,10
2,STARLINK-6227,10
2,STARLINK-30546,13
2,STARLINK-31701,12
2,STARLINK-31858,13
2,STARLINK-33875,12
2,STARLINK-34697,15
2,STARLINK-34693,12
2,STARLINK-34608,12
2,STARLINK-34644,11
2,STARLINK-34685,14
2,STARLINK-34736,15
2,STARLINK-34682,15
2,STARLINK-34654,14
2,STARLINK-34628,10
3,STARLINK-1298,14
3,STARLINK-2626,11
3,STARLINK-2575,15
3,STARLINK-3701,14
3,STARLINK-5163,15
3,STARLINK-5086,13
3,STARLINK-6186,11
3,STARLINK-6227,10
3,STARLINK-30546,14
3,STARLINK-31858,13
3,STARLINK-31910,11
3,STARLINK-33875,12
3,STARLINK-34666,14
3,STARLINK-34567,11
3,STARLINK-34633,14
3,STARLINK-34624,15
3,STARLINK-34651,13
3,STARLINK-34544,11
4,STARLINK-1200,11
4,STARLINK-1966,10
4,STARLINK-2575,15
4,STARLINK-3775,10
4,STARLINK-5163,15
4,STARLINK-5086,15
