user_id,path,t_begin,t_end,success,reward
8,"[('STARLINK-6186', 4, 0), ('STARLINK-2575', 8, 1), ('STARLINK-2575', 8, 2), ('STARLINK-2575', 8, 3), ('STARLINK-2575', 8, 4), ('STARLINK-4158', 11, 5), ('STARLINK-4158', 11, 6), ('STARLINK-4158', 11, 7), ('STARLINK-4158', 11, 8), ('STARLINK-34160', 11, 9), ('STARLINK-34160', 11, 10), ('STARLINK-34160', 11, 11), ('STARLINK-34160', 11, 12)]",0,12,True,1342.8981335308488
9,"[('STARLINK-31858', 3, 0), ('STARLINK-2575', 10, 1), ('STARLINK-2575', 10, 2), ('STARLINK-2575', 10, 3), ('STARLINK-2575', 10, 4), ('STARLINK-4158', 9, 5), ('STARLINK-4158', 9, 6), ('STARLINK-4158', 9, 7), ('STARLINK-4158', 9, 8), ('STARLINK-34160', 12, 9), ('STARLINK-34160', 12, 10), ('STARLINK-34160', 12, 11), ('STARLINK-34160', 12, 12)]",0,12,True,1246.959483819558
10,"[('STARLINK-2575', 18, 0), ('STARLINK-2575', 18, 1), ('STARLINK-5086', 0, 2), ('STARLINK-5086', 0, 3), ('STARLINK-5086', 0, 4), ('STARLINK-5086', 0, 5), ('STARLINK-33873', 10, 6), ('STARLINK-33873', 10, 7), ('STARLINK-33873', 10, 8), ('STARLINK-33873', 10, 9), ('STARLINK-34160', 14, 10), ('STARLINK-34160', 14, 11), ('STARLINK-34160', 14, 12)]",0,12,True,1057.6139598655375
11,"[('STARLINK-31858', 22, 0), ('STARLINK-31858', 22, 1), ('STARLINK-31858', 22, 2), ('STARLINK-31858', 22, 3), ('STARLINK-32001', 21, 4), ('STARLINK-32001', 21, 5), ('STARLINK-32001', 21, 6), ('STARLINK-32001', 21, 7), ('STARLINK-32001', 21, 8), ('STARLINK-34160', 17, 9), ('STARLINK-34160', 17, 10)]",0,10,True,813.3275393088832
44,"[('STARLINK-5086', 9, 3), ('STARLINK-5086', 9, 4), ('STARLINK-4158', 19, 5), ('STARLINK-4158', 19, 6), ('STARLINK-4158', 19, 7), ('STARLINK-4158', 19, 8), ('STARLINK-34160', 19, 9), ('STARLINK-34160', 19, 10), ('STARLINK-34160', 19, 11), ('STARLINK-34160', 19, 12), ('STARLINK-31744', 4, 13)]",3,13,True,726.5922179622304
47,"[('STARLINK-30546', 0, 3), ('STARLINK-32001', 14, 4), ('STARLINK-32001', 14, 5), ('STARLINK-32001', 14, 6), ('STARLINK-32001', 14, 7), ('STARLINK-34165', 9, 8), ('STARLINK-34165', 9, 9), ('STARLINK-34165', 9, 10), ('STARLINK-34165', 9, 11), ('STARLINK-31678', 0, 12), ('STARLINK-31678', 0, 13)]",3,13,True,638.4419598648374
46,"[('STARLINK-31910', 2, 3), ('STARLINK-31910', 2, 4), ('STARLINK-31910', 2, 5), ('STARLINK-4158', 15, 6), ('STARLINK-4158', 15, 7), ('STARLINK-4158', 15, 8), ('STARLINK-4158', 15, 9), ('STARLINK-34160', 20, 10), ('STARLINK-34160', 20, 11), ('STARLINK-34160', 20, 12), ('STARLINK-34160', 20, 13), ('STARLINK-33717', 21, 14), ('STARLINK-33717', 21, 15)]",3,15,True,791.7515801239342
45,"[('STARLINK-6186', 7, 3), ('STARLINK-6186', 7, 4), ('STARLINK-4158', 22, 5), ('STARLINK-4158', 22, 6), ('STARLINK-4158', 22, 7), ('STARLINK-4158', 22, 8), ('STARLINK-4158', 22, 9), ('STARLINK-34160', 18, 10), ('STARLINK-34160', 18, 11), ('STARLINK-34160', 18, 12), ('STARLINK-34160', 18, 13), ('STARLINK-33717', 22, 14), ('STARLINK-33717', 22, 15)]",3,15,True,690.5249022908115
56,"[('STARLINK-5086', 10, 4), ('STARLINK-5086', 10, 5), ('STARLINK-33873', 6, 6), ('STARLINK-33873', 6, 7), ('STARLINK-33873', 6, 8), ('STARLINK-33873', 6, 9), ('STARLINK-34160', 10, 10), ('STARLINK-34160', 10, 11), ('STARLINK-34160', 10, 12), ('STARLINK-34160', 10, 13), ('STARLINK-33717', 24, 14), ('STARLINK-33717', 24, 15)]",4,15,True,642.8426907573596
57,"[('STARLINK-33875', 8, 4), ('STARLINK-33875', 8, 5), ('STARLINK-33875', 8, 6), ('STARLINK-34165', 5, 7), ('STARLINK-34165', 5, 8), ('STARLINK-34165', 5, 9), ('STARLINK-34165', 5, 10), ('STARLINK-34165', 5, 11), ('STARLINK-32190', 7, 12), ('STARLINK-32190', 7, 13), ('STARLINK-32190', 7, 14)]",4,14,True,540.92484602764
