user_id,time,sat,channel,data_rate
8,0,STARLINK-6186,4.0,223.3181288055333
8,1,STARLINK-2575,8.0,229.34284927074907
8,2,STARLINK-2575,8.0,137.8264904954455
8,3,STARLINK-2575,8.0,221.84592387249012
8,4,STARLINK-2575,8.0,88.4072837166867
8,5,STARLINK-4158,11.0,230.77436856797593
8,6,STARLINK-4158,11.0,245.2596566837184
8,7,STARLINK-4158,11.0,96.42357429101723
8,8,STARLINK-4158,11.0,227.63921032874558
8,9,STARLINK-34160,11.0,187.75132989270483
8,10,STARLINK-34160,11.0,179.2182634904105
8,11,STARLINK-34160,11.0,156.20554618628245
8,12,STARLINK-34160,11.0,136.1140463466329
9,0,STARLINK-31858,3.0,256.5767004146966
9,1,STARLINK-2575,10.0,229.31093919431052
9,2,STARLINK-2575,10.0,137.84360369886622
9,3,STARLINK-2575,10.0,221.84826291997933
9,4,STARLINK-2575,10.0,42.970194889607086
9,5,STARLINK-4158,9.0,230.7745841285449
9,6,STARLINK-4158,9.0,245.26433732702935
9,7,STARLINK-4158,9.0,253.6229875608235
9,8,STARLINK-4158,9.0,111.19979255058634
9,9,STARLINK-34160,12.0,62.14302276885182
9,10,STARLINK-34160,12.0,106.25758238907083
9,11,STARLINK-34160,12.0,75.41910365340549
9,12,STARLINK-34160,12.0,136.11073945843683
10,0,STARLINK-2575,18.0,139.20704944164794
10,1,STARLINK-2575,18.0,229.34284927074907
10,2,STARLINK-5086,0.0,149.7739716894695
10,3,STARLINK-5086,0.0,16.4306175414439
10,4,STARLINK-5086,0.0,242.40682935739196
10,5,STARLINK-5086,0.0,196.49558448862268
10,6,STARLINK-33873,10.0,30.855045209307463
10,7,STARLINK-33873,10.0,64.97868351490675
10,8,STARLINK-33873,10.0,135.50849653212777
10,9,STARLINK-33873,10.0,265.17965385785
10,10,STARLINK-34160,14.0,179.2182634904105
10,11,STARLINK-34160,14.0,156.19923782186615
10,12,STARLINK-34160,14.0,85.95321121851673
11,0,STARLINK-31858,22.0,118.43013838566266
11,1,STARLINK-31858,22.0,74.95199703502763
11,2,STARLINK-31858,22.0,269.9367116588858
11,3,STARLINK-31858,22.0,184.6496098230896
11,4,STARLINK-32001,21.0,220.1173080660591
11,5,STARLINK-32001,21.0,75.6724048149073
11,6,STARLINK-32001,21.0,21.33044008489922
11,7,STARLINK-32001,21.0,65.81112213476865
11,8,STARLINK-32001,21.0,26.6516415199597
11,9,STARLINK-34160,17.0,81.68818420237454
11,10,STARLINK-34160,17.0,179.21197020376152
44,3,STARLINK-5086,9.0,11.315948961320437
44,4,STARLINK-5086,9.0,242.40320866306584
44,5,STARLINK-4158,19.0,66.63077712231232
44,6,STARLINK-4158,19.0,93.00852123161548
44,7,STARLINK-4158,19.0,96.42357429101723
44,8,STARLINK-4158,19.0,227.6381213469987
44,9,STARLINK-34160,19.0,187.74593373240396
44,10,STARLINK-34160,19.0,179.1745359323294
44,11,STARLINK-34160,19.0,156.20554618628245
44,12,STARLINK-34160,19.0,136.1140463466329
44,13,STARLINK-31744,4.0,93.89876224242296
47,3,STARLINK-30546,0.0,157.78341334325722
47,4,STARLINK-32001,14.0,82.2286967041328
47,5,STARLINK-32001,14.0,158.24708425833728
47,6,STARLINK-32001,14.0,74.95646616445053
47,7,STARLINK-32001,14.0,82.33855996327361
47,8,STARLINK-34165,9.0,38.17249154741633
47,9,STARLINK-34165,9.0,117.15581521041827
47,10,STARLINK-34165,9.0,104.13569507771348
47,11,STARLINK-34165,9.0,131.05286239411205
47,12,STARLINK-31678,0.0,207.02151168228548
47,13,STARLINK-31678,0.0,77.64847410357176
46,3,STARLINK-31910,2.0,97.47848571759627
46,4,STARLINK-31910,2.0,95.43701191310207
46,5,STARLINK-31910,2.0,60.18749908081023
46,6,STARLINK-4158,15.0,200.46603312449326
46,7,STARLINK-4158,15.0,145.73703433217491
46,8,STARLINK-4158,15.0,97.02262792622838
46,9,STARLINK-4158,15.0,41.53489399787191
46,10,STARLINK-34160,20.0,106.25765402791035
46,11,STARLINK-34160,20.0,75.41878890788038
46,12,STARLINK-34160,20.0,85.95205579452534
46,13,STARLINK-34160,20.0,58.3161196180323
46,14,STARLINK-33717,21.0,69.73230621432972
46,15,STARLINK-33717,21.0,138.21143538952106
45,3,STARLINK-6186,7.0,14.214658754159508
45,4,STARLINK-6186,7.0,199.05440726151394
45,5,STARLINK-4158,22.0,111.19983534249916
45,6,STARLINK-4158,22.0,125.83422838438531
45,7,STARLINK-4158,22.0,57.37869450567024
45,8,STARLINK-4158,22.0,56.835865052749696
45,9,STARLINK-4158,22.0,30.146541215022356
45,10,STARLINK-34160,18.0,179.20395250341286
45,11,STARLINK-34160,18.0,156.20554618628245
45,12,STARLINK-34160,18.0,85.95324496010457
45,13,STARLINK-34160,18.0,58.31557920472179
45,14,STARLINK-33717,22.0,69.73229115947353
45,15,STARLINK-33717,22.0,138.21143538952106
56,4,STARLINK-5086,10.0,107.1408518271055
56,5,STARLINK-5086,10.0,196.48762011258583
56,6,STARLINK-33873,6.0,19.507060092530654
56,7,STARLINK-33873,6.0,64.97954158154865
56,8,STARLINK-33873,6.0,135.4883826668649
56,9,STARLINK-33873,6.0,265.12642500514767
56,10,STARLINK-34160,10.0,179.21656607095653
56,11,STARLINK-34160,10.0,156.20289773594098
56,12,STARLINK-34160,10.0,136.10693815207995
56,13,STARLINK-34160,10.0,115.2043094455181
56,14,STARLINK-33717,24.0,69.73233320446718
56,15,STARLINK-33717,24.0,78.44738701417046
57,4,STARLINK-33875,8.0,44.45094556793521
57,5,STARLINK-33875,8.0,133.241651061767
