time,demand_users,blocked_users,time_blocking_rate
0,4,0,0.0
1,4,0,0.0
2,4,0,0.0
3,8,0,0.0
4,12,0,0.0
5,16,0,0.0
6,20,0,0.0
7,24,0,0.0
8,28,0,0.0
9,32,0,0.0
10,32,0,0.0
11,35,0,0.0
12,39,2,0.05128205128205128
13,40,10,0.25
14,42,5,0.11904761904761904
15,44,2,0.045454545454545456
16,44,0,0.0
17,46,4,0.08695652173913043
18,47,2,0.0425531914893617
19,44,5,0.11363636363636363
20,43,1,0.023255813953488372
21,45,5,0.1111111111111111
22,43,1,0.023255813953488372
23,45,1,0.022222222222222223
24,46,4,0.08695652173913043
25,43,0,0.0
26,44,6,0.13636363636363635
27,44,2,0.045454545454545456
28,42,5,0.11904761904761904
29,38,4,0.10526315789473684
30,36,3,0.08333333333333333
31,33,3,0.09090909090909091
32,25,5,0.2
33,24,4,0.16666666666666666
34,24,2,0.08333333333333333
35,18,6,0.3333333333333333
36,15,2,0.13333333333333333
37,11,2,0.18181818181818182
38,6,3,0.5
39,3,7,2.3333333333333335
