user_id,path,t_begin,t_end,success,reward
11,"[('STARLINK-6186', 4, 0), ('STARLINK-6186', 4, 1), ('STARLINK-6186', 4, 2), ('STARLINK-31910', 0, 3), ('STARLINK-31910', 0, 4), ('STARLINK-31910', 0, 5), ('STARLINK-5860', 15, 6), ('STARLINK-5860', 15, 7), ('STARLINK-5860', 15, 8), ('STARLINK-34160', 11, 9), ('STARLINK-34160', 11, 10), ('STARLINK-34160', 11, 11)]",0,11,True,1612.521086630533
8,"[('STARLINK-6186', 3, 0), ('STARLINK-6186', 3, 1), ('STARLINK-6186', 3, 2), ('STARLINK-31910', 18, 3), ('STARLINK-31910', 18, 4), ('STARLINK-31910', 18, 5), ('STARLINK-4158', 15, 6), ('STARLINK-4158', 15, 7), ('STARLINK-4158', 15, 8), ('STARLINK-34160', 12, 9), ('STARLINK-34160', 12, 10), ('STARLINK-34160', 12, 11), ('STARLINK-31678', 0, 12), ('STARLINK-31678', 0, 13)]",0,13,True,1627.5231771098493
9,"[('STARLINK-31858', 8, 0), ('STARLINK-31858', 8, 1), ('STARLINK-31858', 8, 2), ('STARLINK-33875', 0, 3), ('STARLINK-33875', 0, 4), ('STARLINK-33875', 0, 5), ('STARLINK-4158', 0, 6), ('STARLINK-4158', 0, 7), ('STARLINK-4158', 0, 8), ('STARLINK-34160', 15, 9), ('STARLINK-34160', 15, 10), ('STARLINK-34160', 15, 11), ('STARLINK-31678', 17, 12), ('STARLINK-31678', 17, 13)]",0,13,True,1854.2340988770661
10,"[('STARLINK-31858', 0, 0), ('STARLINK-31858', 0, 1), ('STARLINK-31858', 0, 2), ('STARLINK-33875', 22, 3), ('STARLINK-33875', 22, 4), ('STARLINK-33875', 22, 5), ('STARLINK-5860', 16, 6), ('STARLINK-5860', 16, 7), ('STARLINK-5860', 16, 8), ('STARLINK-34160', 5, 9), ('STARLINK-34160', 5, 10), ('STARLINK-34160', 5, 11), ('STARLINK-31678', 20, 12), ('STARLINK-31678', 20, 13)]",0,13,True,1621.5687929278026
44,"[('STARLINK-6227', 4, 3), ('STARLINK-6227', 4, 4), ('STARLINK-6227', 4, 5), ('STARLINK-4158', 22, 6), ('STARLINK-4158', 22, 7), ('STARLINK-4158', 22, 8), ('STARLINK-34160', 3, 9), ('STARLINK-34160', 3, 10), ('STARLINK-34160', 3, 11), ('STARLINK-31678', 21, 12), ('STARLINK-31678', 21, 13)]",3,13,True,1109.7512076060955
47,"[('STARLINK-6227', 10, 3), ('STARLINK-6227', 10, 4), ('STARLINK-6227', 10, 5), ('STARLINK-4158', 9, 6), ('STARLINK-4158', 9, 7), ('STARLINK-4158', 9, 8), ('STARLINK-34160', 17, 9), ('STARLINK-34160', 17, 10), ('STARLINK-34160', 17, 11), ('STARLINK-31678', 7, 12), ('STARLINK-31678', 7, 13)]",3,13,True,1823.604228576374
45,"[('STARLINK-6227', 8, 3), ('STARLINK-6227', 8, 4), ('STARLINK-6227', 8, 5), ('STARLINK-5860', 12, 6), ('STARLINK-5860', 12, 7), ('STARLINK-5860', 12, 8), ('STARLINK-34160', 19, 9), ('STARLINK-34160', 19, 10), ('STARLINK-34160', 19, 11), ('STARLINK-32190', 18, 12), ('STARLINK-32190', 18, 13), ('STARLINK-32190', 18, 14), ('STARLINK-30906', 7, 15), ('STARLINK-30906', 7, 16)]",3,16,True,1654.0519021631367
46,"[('STARLINK-33875', 8, 3), ('STARLINK-33875', 8, 4), ('STARLINK-33875', 8, 5), ('STARLINK-34163', 17, 6), ('STARLINK-34163', 17, 7), ('STARLINK-34163', 17, 8), ('STARLINK-34160', 4, 9), ('STARLINK-34160', 4, 10), ('STARLINK-34160', 4, 11), ('STARLINK-32190', 20, 12), ('STARLINK-32190', 20, 13), ('STARLINK-32190', 20, 14), ('STARLINK-30906', 22, 15), ('STARLINK-30906', 22, 16)]",3,16,True,1349.464928844862
57,"[('STARLINK-32001', 21, 4), ('STARLINK-32001', 21, 5), ('STARLINK-32001', 21, 6), ('STARLINK-4158', 19, 7), ('STARLINK-4158', 19, 8), ('STARLINK-4158', 19, 9), ('STARLINK-34709', 22, 10), ('STARLINK-34709', 22, 11), ('STARLINK-34709', 22, 12), ('STARLINK-31744', 17, 13), ('STARLINK-31744', 17, 14)]",4,14,True,1338.349565515598
59,"[('STARLINK-5086', 9, 4), ('STARLINK-5086', 9, 5), ('STARLINK-5086', 9, 6), ('STARLINK-4158', 24, 7), ('STARLINK-4158', 24, 8), ('STARLINK-4158', 24, 9), ('STARLINK-34709', 9, 10), ('STARLINK-34709', 9, 11), ('STARLINK-34709', 9, 12), ('STARLINK-31744', 4, 13), ('STARLINK-31744', 4, 14)]",4,14,True,1082.5753029168975
